r1,r2,t,sub,rs,condition
0.0120320855614974,0.814171122994652,3,42,0.802139037433155,reward
0.0086898395721926,0.0120320855614974,4,42,0.0033422459893048,reward
0.00868983957219259,0.994652406417112,5,42,0.98596256684492,reward
0.00868983957219259,0.991310160427807,6,42,0.982620320855615,transition
0.0120320855614974,0.994652406417112,7,42,0.982620320855615,control
0.0120320855614974,0.503342245989305,8,42,0.491310160427807,transition
0.00534759358288772,0.987967914438503,9,42,0.982620320855615,transition
0.00868983957219259,0.997994652406417,10,42,0.989304812834224,reward
0.00868983957219259,0.991310160427807,11,42,0.982620320855615,reward
0.00534759358288778,0.991310160427807,12,42,0.98596256684492,transition
0.00534759358288772,0.994652406417112,13,42,0.989304812834225,transition
0.0086898395721926,0.00868983957219259,14,42,-1.56125112837913e-17,control
0.00200534759358295,0.997994652406417,15,42,0.995989304812834,reward
0.00534759358288772,0.997994652406417,16,42,0.992647058823529,transition
0.00200534759358295,0.994652406417112,17,42,0.992647058823529,reward
0.00200534759358295,0.0086898395721926,18,42,0.00668449197860965,control
0.00534759358288778,0.994652406417112,19,42,0.989304812834225,transition
0.00200534759358295,0.991310160427807,20,42,0.989304812834224,transition
0.00534759358288778,0.00534759358288772,1,43,-5.3776427755281e-17,reward
0.683823529411765,0.787433155080214,2,43,0.103609625668449,reward
0.00534759358288772,0.155748663101604,3,43,0.150401069518717,transition
0.00534759358288778,0.750668449197861,4,43,0.745320855614973,reward
0.00534759358288772,0.76403743315508,5,43,0.758689839572192,reward
0.00534759358288778,0.00200534759358296,6,43,-0.00334224598930481,control
0.00868983957219259,0.352941176470588,7,43,0.344251336898396,reward
0.00200534759358295,0.40307486631016,8,43,0.401069518716577,transition
